group,team,game,opponent,attempts,on_target,off_target,goals_for,goals_against,on_target_against
A,RUSSIA,1,SAUDI ARABIA,13,7,3,5,0,0
A,SAUDI ARABIA,1,RUSSIA,6,0,3,0,5,7
A,EGYPT,1,URUGUAY,8,3,3,0,1,4
A,URUGUAY,1,EGYPT,14,4,6,1,0,3
B,MOROCCO,1,IRAN,13,3,6,0,1,2
B,IRAN,1,MOROCCO,8,2,5,1,0,3
B,PORTUGAL,1,SPAIN,8,3,2,3,3,5
B,SPAIN,1,PORTUGAL,12,5,5,3,3,3
C,FRANCE,1,AUSTRALIA,12,5,4,2,1,1
C,AUSTRALIA,1,FRANCE,4,1,2,1,2,5
D,ARGENTINA,1,ICELAND,26,7,9,1,1,3
D,ICELAND,1,ARGENTINA,9,3,5,1,1,7
C,PERU,1,DENMARK,18,6,7,0,1,3
C,DENMARK,1,PERU,10,3,5,1,0,6
D,CROATIA,1,NIGERIA,11,2,7,2,0,2
D,NIGERIA,1,CROATIA,14,2,5,0,2,2
E,COSTA RICA,1,SERBIA,10,3,3,0,1,3
E,SERBIA,1,COSTA RICA,10,3,5,1,0,3
F,GERMANY,1,MEXICO,25,9,9,0,1,4
F,MEXICO,1,GERMANY,12,4,6,1,0,9
E,BRAZIL,1,SWITZERLAND,20,4,9,1,1,2
E,SWITZERLAND,1,BRAZIL,6,2,4,1,1,4
F,SWEDEN,1,KOREA,15,4,5,1,0,0
F,KOREA,1,SWEDEN,5,0,2,0,1,4
G,BELGIUM,1,PANAMA,15,6,7,3,0,2
G,PANAMA,1,BELGIUM,6,2,4,0,3,6
G,TUNISIA,1,ENGLAND,6,1,3,1,2,7
G,ENGLAND,1,TUNISIA,17,7,7,2,1,1
H,COLOMBIA,1,JAPAN,8,3,1,1,2,6
H,JAPAN,1,COLOMBIA,14,6,5,2,1,3
H,POLAND,1,SENEGAL,10,4,5,1,2,2
H,SENEGAL,1,POLAND,8,2,4,2,1,4
A,RUSSIA,2,EGYPT,11,3,5,3,1,1
A,EGYPT,2,RUSSIA,13,1,8,1,3,3
B,PORTUGAL,2,MOROCCO,10,2,4,1,0,4
B,MOROCCO,2,PORTUGAL,16,4,10,0,1,2
A,URUGUAY,2,SAUDI ARABIA,13,4,6,1,0,3
A,SAUDI ARABIA,2,URUGUAY,8,3,3,0,1,4
B,IRAN,2,SPAIN,5,0,5,0,1,3
B,SPAIN,2,IRAN,17,3,6,1,0,0
C,DENMARK,2,AUSTRALIA,10,5,5,1,1,5
C,AUSTRALIA,2,DENMARK,14,5,5,1,1,5
C,FRANCE,2,PERU,12,4,6,1,0,2
C,PERU,2,FRANCE,10,2,6,0,1,4
D,ARGENTINA,2,CROATIA,10,3,3,0,3,5
D,CROATIA,2,ARGENTINA,15,5,6,3,0,3
E,BRAZIL,2,COSTA RICA,23,9,9,2,0,0
E,COSTA RICA,2,BRAZIL,4,0,4,0,2,9
D,NIGERIA,2,ICELAND,16,4,6,2,0,3
D,ICELAND,2,NIGERIA,10,3,6,0,2,4
E,SERBIA,2,SWITZERLAND,12,3,7,1,2,5
E,SWITZERLAND,2,SERBIA,20,5,8,2,1,3
G,BELGIUM,2,TUNISIA,23,12,8,5,2,5
G,TUNISIA,2,BELGIUM,15,5,6,2,5,12
F,KOREA,2,MEXICO,17,6,2,1,2,5
F,MEXICO,2,KOREA,13,5,6,2,1,6
F,GERMANY,2,SWEDEN,16,5,4,2,1,6
F,SWEDEN,2,GERMANY,8,6,1,1,2,5
G,ENGLAND,2,PANAMA,12,7,3,6,1,2
G,PANAMA,2,ENGLAND,8,2,5,1,6,7
H,JAPAN,2,SENEGAL,7,3,2,2,2,7
H,SENEGAL,2,JAPAN,14,7,5,2,2,3
H,POLAND,2,COLOMBIA,9,2,3,0,3,3
H,COLOMBIA,2,POLAND,13,3,5,3,0,2
A,URUGUAY,3,RUSSIA,17,7,6,3,0,1
A,RUSSIA,3,URUGUAY,3,1,1,0,3,7
A,SAUDI ARABIA,3,EGYPT,22,7,10,2,1,1
A,EGYPT,3,SAUDI ARABIA,8,1,6,1,2,7
B,SPAIN,3,MOROCCO,16,4,11,2,2,3
B,MOROCCO,3,SPAIN,6,3,2,2,2,4
B,IRAN,3,PORTUGAL,8,2,5,1,1,4
B,PORTUGAL,3,IRAN,14,4,7,1,1,2
C,AUSTRALIA,3,PERU,14,2,7,0,2,3
C,PERU,3,AUSTRALIA,4,3,1,2,0,2
C,DENMARK,3,FRANCE,5,1,2,0,0,4
C,FRANCE,3,DENMARK,11,4,6,0,0,1
D,NIGERIA,3,ARGENTINA,9,3,5,1,2,4
D,ARGENTINA,3,NIGERIA,8,4,3,2,1,3
D,ICELAND,3,CROATIA,17,6,8,1,2,2
D,CROATIA,3,ICELAND,13,2,8,2,1,6
F,KOREA,3,GERMANY,11,5,5,2,0,6
F,GERMANY,3,KOREA,26,6,11,0,2,5
F,MEXICO,3,SWEDEN,19,3,8,0,3,5
F,SWEDEN,3,MEXICO,13,5,7,3,0,3
E,SERBIA,3,BRAZIL,10,1,5,0,2,6
E,BRAZIL,3,SERBIA,13,6,3,2,0,1
E,SWITZERLAND,3,COSTA RICA,12,3,5,2,2,6
E,COSTA RICA,3,SWITZERLAND,14,6,6,2,2,3
H,JAPAN,3,POLAND,10,3,4,0,1,2
H,POLAND,3,JAPAN,11,2,5,1,0,3
H,SENEGAL,3,COLOMBIA,8,3,4,0,1,2
H,COLOMBIA,3,SENEGAL,4,2,1,1,0,3
G,PANAMA,3,TUNISIA,9,4,4,1,2,7
G,TUNISIA,3,PANAMA,15,7,4,2,1,4
G,ENGLAND,3,BELGIUM,13,1,7,0,1,4
G,BELGIUM,3,ENGLAND,15,4,4,1,0,1
W,URUGUAY,4,PORTUGAL,6,3,2,2,1,5
W,PORTUGAL,4,URUGUAY,20,5,7,1,2,3
W,FRANCE,4,ARGENTINA,9,4,4,4,3,4
W,ARGENTINA,4,FRANCE,9,4,1,3,4,4
W,BRAZIL,4,MEXICO,21,10,7,2,0,1
W,MEXICO,4,BRAZIL,13,1,4,0,2,10
W,BELGIUM,4,JAPAN,24,8,10,3,2,4
W,JAPAN,4,BELGIUM,11,4,4,2,3,8
W,SPAIN,4,RUSSIA,25,9,6,1,1,1
W,RUSSIA,4,SPAIN,6,1,3,1,1,9
W,CROATIA,4,DENMARK,22,7,8,1,1,3
W,DENMARK,4,CROATIA,15,3,10,1,1,7
W,SWEDEN,4,SWITZERLAND,12,3,6,1,0,4
W,SWITZERLAND,4,SWEDEN,18,4,5,0,1,3
W,COLOMBIA,4,ENGLAND,14,4,7,1,1,2
W,ENGLAND,4,COLOMBIA,16,2,9,1,1,4
X,URUGUAY,5,FRANCE,11,4,6,0,2,2
X,FRANCE,5,URUGUAY,11,2,7,2,0,4
X,BRAZIL,5,BELGIUM,26,9,7,1,2,3
X,BELGIUM,5,BRAZIL,8,3,3,2,1,9
X,RUSSIA,5,CROATIA,13,7,4,2,2,3
X,CROATIA,5,RUSSIA,17,3,10,2,2,7
X,SWEDEN,5,ENGLAND,7,3,3,0,2,2
X,ENGLAND,5,SWEDEN,12,2,4,2,0,3
Y,FRANCE,6,BELGIUM,19,5,8,1,0,3
Y,BELGIUM,6,FRANCE,9,3,5,0,1,5
Y,CROATIA,6,ENGLAND,22,7,11,2,1,1
Y,ENGLAND,6,CROATIA,11,1,6,1,2,7
Z,BELGIUM,7,ENGLAND,12,4,3,2,0,5
Z,ENGLAND,7,BELGIUM,15,5,7,0,2,4
Z,FRANCE,7,CROATIA,8,6,1,4,2,3
Z,CROATIA,7,FRANCE,15,3,8,2,4,6
