group,team,game,opponent,attempts,off_target,on_target,goals_for,goals_against,on_target_against,on_target
F,INTE,1,SLAV,17,9,6,1,1,5,6
F,SLAV,1,INTE,12,5,5,1,1,6,5
G,LYON,1,ZENI,19,6,8,1,1,3,8
G,ZENI,1,LYON,12,8,3,1,1,8,3
E,NAPO,1,LIVE,10,2,5,2,0,4,5
E,LIVE,1,NAPO,12,5,4,0,2,5,4
E,SALZ,1,GENK,26,7,13,6,2,4,13
E,GENK,1,SALZ,10,4,4,2,6,13,4
F,DORT,1,BARC,14,7,4,0,0,1,4
F,BARC,1,DORT,7,1,1,0,0,4,1
G,BENF,1,LEIP,15,7,7,1,2,3,7
G,LEIP,1,BENF,11,3,3,2,1,7,3
H,CHEL,1,VALE,22,7,6,0,1,2,6
H,VALE,1,CHEL,8,5,2,1,0,6,2
H,AJAX,1,LOSC,15,3,7,3,0,5,7
H,LOSC,1,AJAX,14,6,5,0,3,7,5
A,CLUB,1,GALA,12,7,2,0,0,1,2
A,GALA,1,CLUB,10,7,1,0,0,2,1
B,OLYM,1,TOTT,18,9,5,2,2,5,5
B,TOTT,1,OLYM,10,2,5,2,2,5,5
A,PARI,1,REAL,9,2,5,3,0,0,5
A,REAL,1,PARI,10,9,0,0,3,5,0
B,BAYE,1,CRVE,34,12,10,3,0,0,10
B,CRVE,1,BAYE,7,6,0,0,3,10,0
C,DINA,1,ATAL,13,5,6,4,0,2,6
C,ATAL,1,DINA,13,8,2,0,4,6,2
C,SHAK,1,MANC,6,3,1,0,3,5,1
C,MANC,1,SHAK,17,11,5,3,0,1,5
D,LEVE,1,LOKO,16,7,5,1,2,4,5
D,LOKO,1,LEVE,8,3,4,2,1,5,4
D,ATLE,1,JUVE,20,5,8,2,2,5,8
D,JUVE,1,ATLE,11,2,5,2,2,8,5
A,REAL,2,CLUB,27,14,6,2,2,4,6
A,CLUB,2,REAL,7,3,4,2,2,6,4
C,ATAL,2,SHAK,13,6,5,1,2,6,5
C,SHAK,2,ATAL,12,3,6,2,1,5,6
A,GALA,2,PARI,7,3,1,0,1,6,1
A,PARI,2,GALA,17,9,6,1,0,1,6
B,TOTT,2,BAYE,15,5,8,2,7,11,8
B,BAYE,2,TOTT,21,6,11,7,2,8,11
B,CRVE,2,OLYM,20,10,6,3,1,2,6
B,OLYM,2,CRVE,11,6,2,1,3,6,2
C,MANC,2,DINA,20,11,6,2,0,1,6
C,DINA,2,MANC,2,1,1,0,2,6,1
D,JUVE,2,LEVE,12,3,7,3,0,0,7
D,LEVE,2,JUVE,10,8,0,0,3,7,0
D,LOKO,2,ATLE,11,7,3,0,2,8,3
D,ATLE,2,LOKO,19,9,8,2,0,3,8
E,GENK,2,NAPO,15,8,2,0,0,2,2
E,NAPO,2,GENK,18,9,2,0,0,2,2
F,SLAV,2,DORT,16,5,7,0,2,5,7
F,DORT,2,SLAV,9,2,5,2,0,7,5
E,LIVE,2,SALZ,10,2,5,4,3,5,5
E,SALZ,2,LIVE,10,5,5,3,4,5,5
F,BARC,2,INTE,17,7,7,2,1,3,7
F,INTE,2,BARC,11,3,3,1,2,7,3
G,LEIP,2,LYON,17,7,4,0,2,2,4
G,LYON,2,LEIP,11,6,2,2,0,4,2
G,ZENI,2,BENF,18,8,6,3,1,7,6
G,BENF,2,ZENI,17,6,7,1,3,6,7
H,LOSC,2,CHEL,8,2,4,1,2,3,4
H,CHEL,2,LOSC,10,6,3,2,1,4,3
H,VALE,2,AJAX,14,5,4,0,3,6,4
H,AJAX,2,VALE,13,5,6,3,0,4,6
C,SHAK,3,DINA,12,4,4,2,2,4,4
C,DINA,3,SHAK,12,4,4,2,2,4,4
D,ATLE,3,LEVE,6,3,2,1,0,1,2
D,LEVE,3,ATLE,11,4,1,0,1,2,1
A,CLUB,3,PARI,8,6,0,0,5,8,0
A,PARI,3,CLUB,13,4,8,5,0,0,8
A,GALA,3,REAL,11,4,3,0,1,13,3
